"filename", "language", "YAML", "C++", "Swift", "XML", "HTML", "JSON", "Groovy", "Properties", "Markdown", "Dart", "comment", "blank", "total"
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/lib/pages/tablet/home.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/lib/responsive_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 3, 28
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/lib/routes/app_route_config..dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 1, 2, 51
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/lib/routes/app_route_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 1, 12
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/linux/flutter/generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/linux/main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/linux/my_application.cc", "C++", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/linux/my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 4, 13
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/pubspec.yaml", "YAML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 15, 94
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/web/index.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/windows/flutter/generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/windows/runner/flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/windows/runner/flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/windows/runner/main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/windows/runner/resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/windows/runner/utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/windows/runner/utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/windows/runner/win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/home/vansh/Documents/flutter-projects/vts-bangalore/vts/windows/runner/win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 22, 539, 52, 469, 38, 248, 89, 8, 13, 922, 342, 331, 3073
